Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOT,2021-05-13,37.7763402221,38.706499132,42.5551905451,37.2314229471
DOT,2021-05-14,40.5853887166,35.1009456573,41.923611528,33.094808712
DOT,2021-05-15,46.8478021408,40.0275755391,47.6017561103,39.5292864787
DOT,2021-05-16,44.061000841,48.0648631498,49.7392443547,43.8281326343
DOT,2021-05-17,41.7083356718,43.6709752868,46.7165034474,39.5216186289
DOT,2021-05-18,38.0306988317,42.4550508345,42.4596376777,35.1521942354
DOT,2021-05-19,42.0051211142,38.7123686513,42.6607837004,37.7604312105
DOT,2021-05-20,28.7282141396,40.6702032222,41.4037190593,19.6951840551
DOT,2021-05-21,28.2305102013,25.0980302347,31.3947802845,22.2369301958
DOT,2021-05-22,23.7019312215,29.0474604944,30.7359630045,20.0454467952
DOT,2021-05-23,21.8608954788,24.4570566951,24.6517008973,20.3867392559
DOT,2021-05-24,17.8516646218,22.0852627705,23.4683987199,13.713675279
DOT,2021-05-25,22.0350674469,17.9349214923,23.5356296573,17.1590273203
DOT,2021-05-26,22.1935291783,23.3092939867,24.2572786042,19.7050216073
DOT,2021-05-27,24.330991073,22.1861757074,24.7983922084,21.6533400689
DOT,2021-05-28,24.2078123911,24.5693186609,24.9604146365,21.8078680719
DOT,2021-05-29,20.9771665471,23.9998356778,26.051001528,20.2643456481
DOT,2021-05-30,19.6911104874,21.3695563196,22.3131787088,18.8172052482
DOT,2021-05-31,20.4732394614,19.8956541598,21.353522714,18.4626158992
DOT,2021-06-01,22.6550598448,20.4835790543,22.8605671544,19.0910740119
DOT,2021-06-02,22.6301984009,23.2780577348,23.5444093296,21.7096791821
DOT,2021-06-03,25.6373734741,22.8344506567,26.7978045543,22.6591710161
DOT,2021-06-04,27.1854721882,25.9196572234,28.6045895684,25.6894957444
DOT,2021-06-05,25.4053060693,27.0070726925,27.0206893787,23.637695558
DOT,2021-06-06,23.3562976671,25.0255247861,26.4348177589,22.9820612754
DOT,2021-06-07,23.6548730029,23.7982885025,24.492539442,23.5854641657
DOT,2021-06-08,22.4404182763,24.1949634869,25.2921936014,21.8886103679
DOT,2021-06-09,21.7107670281,21.7048227913,22.3049924301,19.627072795
DOT,2021-06-10,23.0850655827,21.6734769035,23.2988871389,20.3905609873
DOT,2021-06-11,22.7573720361,23.2265173355,24.5763595314,22.064020277
DOT,2021-06-12,20.8270099372,22.6921528979,23.2173835481,20.5187797985
DOT,2021-06-13,20.8334263525,20.948682083,21.2672967242,19.6637350409
DOT,2021-06-14,22.1063433963,20.756657902,22.4070446529,19.944191585
DOT,2021-06-15,24.8295983484,22.0420880288,25.4369152911,21.2380157861
DOT,2021-06-16,24.4954176921,25.8683178305,26.0126148435,23.5653971448
DOT,2021-06-17,23.1734820909,23.9552148744,24.5801186156,22.577969049
DOT,2021-06-18,22.1341680337,23.0301093577,24.017777784,22.0050451045
DOT,2021-06-19,21.1960369572,22.5357865857,22.5704147018,20.2791313598
DOT,2021-06-20,20.580569361,21.4505234909,21.6424425377,20.4661511748
DOT,2021-06-21,20.8300330136,20.2475679695,20.9944737807,18.9023183802
DOT,2021-06-22,15.8196086387,20.6245614297,20.7883342725,15.7788580866
DOT,2021-06-23,14.8863622022,15.7108213902,16.9292987088,13.0794857929
DOT,2021-06-24,15.7411684721,14.6903402492,16.8061140722,13.9779888085
DOT,2021-06-25,16.2874497026,15.8013965088,16.59222989,14.7374367891
DOT,2021-06-26,14.7115900016,16.2203453791,16.7313118738,14.4867249991
DOT,2021-06-27,14.2328460844,14.4281179523,14.9854729839,13.6407619177
DOT,2021-06-28,14.7491804038,14.5249038101,14.9037636893,14.0662399796
DOT,2021-06-29,15.7236988029,15.0120563855,16.0216896202,14.6099898734
DOT,2021-06-30,16.1780748922,15.7841938122,17.0271963763,15.7200131299
DOT,2021-07-01,16.183510097,16.2916695891,16.6227216448,15.0985160057
DOT,2021-07-02,15.3030660301,16.4032137457,16.4078969388,14.8637160102
DOT,2021-07-03,15.1965447388,15.1823939429,15.4556846797,14.6329563733
DOT,2021-07-04,15.4002838544,15.2915506934,15.7502583784,15.0289160613
DOT,2021-07-05,16.2776786478,15.5173334507,16.551112224,15.1655039929
DOT,2021-07-06,15.4912573266,15.971035175,15.971035175,14.8308893351
DOT,2021-07-07,15.8154267367,15.2299467482,16.1579770846,15.1990626752
DOT,2021-07-08,16.9951738462,16.1282239598,17.6681747619,16.0902501419
DOT,2021-07-09,15.0704532527,16.8655937445,16.8922812046,15.0399850686
DOT,2021-07-10,15.749649321,15.3132105805,15.7983249289,14.8268856239
